"column_name","data_type","type_conflicts","source","dataset_count","table_count","final_description","source_descriptions"
"policies_is_enterprise","BOOL","False","glean","123","328","Determination of whether the user is an enterprise user based on various signals.","Attempt to determine if the user is an enterprise user based on various signals. | Attempt to determine if the user is an enterprise user based on various signals. This metric was generated to correspond to the Legacy Telemetry scalar policies.is_enterprise."
"days_seen_session_end_bits","INT64","False","missing","123","366","Bit field encoding which days a session was seen ending.",""
"days_seen_session_start_bits","INT64","False","missing","123","366","Bit field encoding which days a session was seen starting.",""
"browser_engagement_active_ticks","INT64","False","glean","122","322","Count of five-second intervals during which the user interacted with the browser via keyboard or mouse.","The count of the number of five-second intervals ('ticks') the user was considered 'active' in a subsession. Session activity involves keyboard or mouse interaction with the application. It does not take into account whether or not the window has focus or is in the foreground, only if it is receiving these interaction events. | The number of five-second intervals ('ticks') the user was considered 'active'. 'active' means keyboard or mouse interaction with the application. It doesn't take into account whether or not the window has focus or is in the foreground, only if it is receiving these interaction events. Migrated from Telemetry's `browser.engagement.active_ticks`."
"browser_engagement_uri_count","INT64","False","glean","122","322","Total number of non-unique HTTP(S) URIs visited including reloads after session restore.","The number of total non-unique http(s) URIs visited, including page reloads, after the session has been restored. URIs on minimized or background tabs may also be counted. Private browsing uris are included. Migrated from Telemetry's `browser.engagement.total_uri_count_normal_and_private_mode`."
"distributor","STRING","False","glean","121","328","Value of the app.distributor preference.","The value of the `app.distributor` pref."
"distributor_channel","STRING","False","glean","121","328","Value of the app.distributor.channel preference.","The value of the `app.distributor.channel` pref."
"startup_profile_selection_reason_first","STRING","False","bqetl","121","334","Reason how the profile was selected during startup.","How the profile was selected during startup | Startup Profile Selection Reason First"
"attribution_msclkid","STRING","False","bqetl","119","317","Unique token created at Firefox download time using the Microsoft Store.","Unique token created at Firefox download time using the Microsoft Store."
"distribution_partner_id","STRING","False","bqetl","119","313","Value of the mozilla.partner.id preference.","pref mozilla.partner.id, null on failure"
"document_event_number","INT64","False","missing","117","117","Sequential event identifier within a document.",""
"days_visited_1_uri_bits","INT64","False","bqetl","107","126","Bit pattern for days on which the client visited exactly one URI.","Days Visited 1 URI Bits | Days visited 1 in uri bits"
"days_since_seen","INT64","False","bqetl","86","140","Number of days since the client was last seen.","Days Since Seen | Number of days since this client was last seen. For example, if they were seen yesterday, days_since_seen would be 1."
"days_since_created_profile","INT64","False","missing","84","123","Number of days elapsed since the user profile was created.",""
"days_since_active","INT64","False","bqetl","81","116","Number of days since the client was last active.","Days Since Active"
"days_since_seen_session_end","INT64","False","missing","81","109","Number of days since the last observed session end.",""
"days_since_seen_session_start","INT64","False","missing","81","109","Number of days since the last observed session start.",""
"event_id","STRING","True","bqetl","80","138","UUID uniquely identifying each event.","A UUID for each event | Event ID | Row identifier UUID. When unnesting the results column, use 'COUNT(DISTINCT event_id)' to count events."
"days_since_visited_1_uri","INT64","False","missing","80","111","Number of days since the user visited at least one URI.",""
"experiment_branch","STRING","False","bqetl","76","84","Experiment branch this data is associated with.","The experiment branch this data is associated with."
"normalized_app_id","STRING","False","bqetl","76","428","Normalized application ID of the channel from which data was received.","App ID of the channel data was received from | Normalized App ID"
"experiment","STRING","True","glean","73","158","Funnel experiment parameters.","Funnel experiment parameters, see bug 1567339 | funnel experiment parameters, see bug 1567339"
"total_events","INT64","False","bqetl","73","83","Total number of events with the current dimension set.","Number of events with the current dimension set | Total Events | Total Events - The total number of non-page view events | Total number of events."
"window_end","TIMESTAMP","False","missing","71","129","End timestamp of an aggregation or analysis window.",""
"window_start","TIMESTAMP","False","missing","71","131","Start timestamp of an aggregation or analysis window.",""
"event_extra_key","STRING","False","missing","69","73","Key name for event extra metadata.",""
"days_sent_metrics_ping_bits","INT64","False","bqetl","62","141","Value indicating whether the client sent a metrics ping on the specified date.","Value of 1 if the client ID sent a metric ping on this date."
"n_metrics_ping","INT64","False","bqetl","62","141","Number of metrics pings received from the client on the submission date.","Number of metrics pings we received from this client on this submission date."
"date","STRING","True","glean","57","1272","Date value from the HTTP header.","Date HTTP header"
"id","STRING","True","glean","54","444","Unique identifier such as story tile ID or theme ID.","The 'tile_id' indicating which story the tile points to; this was previously an integer in the v1 schema | The id of the theme."
"type","STRING","True","glean","51","208","Document type classification.","doc_type, restated"
"days_seen_bytes","BYTES","False","bqetl","42","56","Days of client activity over the past year represented as bytes.","Days Seen Bytes | Days seen over the past year, represented as bytes."
"source","STRING","True","glean","40","164","Origin or location where an event, impression, suggestion, or interaction occurred.","A string describing the source of this event | Added to reduce validation exceptions: see #1787882 | An identifier for where the event occurred (e.g. what part of the Pocket button UI a click was performed on). | Referring partner domain, when install happens via a known partner. | The attribution source (e.g. 'google-play'). | The browser location where the click was triggered | The browser location where the impression was displayed | The source of the suggestion, either “remote-settings” or “merino”. See bug 1779049 | The source of the suggestion, either “remote-settings” or “merino”. See bug 1839487"
"search_count","INT64","True","bqetl","38","1957","Number of searches performed by the client in the last 3 days.","Number of searches performed by the client in the last 3 days."
"region","STRING","False","bqetl","37","70","Geographical region associated with the user or activity.","First reported region for a GA client. | First reported region for a GA user. | Geographical region of the destination. | Region code associated with the client when the ad was requested. May be null. | Region reported during GA user's session_start event."
"name","STRING","False","glean","36","175","Human-readable identifier such as CPU name, add-on name, OS name, search engine name, or theme name.","The CPU name, e.g. 'Intel(R) Core(TM) i9-8950HK CPU @ 2.90GHz', or `null` on failure. Desktop only. | The add-on name, limited to 100 characters. This field is only available after the 'sessionstore-windows-restored' topic is notified. | The distribution name (e.g. 'MozillaOnline'). | The name of the ISP associated with the client's IP address | The name of the OS, e.g. 'Windows_NT'. This is `null` on failure. | The name of the default search engine. | The theme name, limited to 100 characters."
"status","STRING","True","bqetl","36","88","Current state or condition such as subscription status, user status, or ticket status.","Posibble options include: open, assigned, partially_answered, closed, cancelled. | Possible options include: open, assigned, partially_answered, closed, cancelled. | Possible values are ""incomplete"", ""incomplete_expired"", ""trialing"", ""active"", ""past_due"", ""canceled"", ""unpaid"", or ""paused"". For `collection_method` = ""charge_automatically"" a subscription moves into ""incomplete"" if the initial payment attempt fails. Once the first invoice is paid, the subscription moves into an ""active"" state. If the first invoice is not paid within 23 hours, the subscription transitions to ""incomplete_expired"". A subscription that is currently in a trial period is ""trialing"" and moves to ""active"" when the trial period is over. If subscription `collection_method` = ""charge_automatically"" it becomes ""past_due"" when payment to renew it fails and ""canceled"" or ""unpaid"" (depending on your subscriptions settings) when Stripe has exhausted all payment retry attempts. If subscription `collection_method` = ""send_invoice"" it becomes ""past_due"" when its invoice is not paid by the due date, and ""canceled"" or ""unpaid"" if it is still not paid by an additional deadline after that. | The participant's status. * `in_meeting` - In a meeting. * `in_waiting_room` - In a waiting room. | The status of the auto-renewable subscription. Possible values: * `1` - The auto-renewable subscription is active. * `2` - The auto-renewable subscription is expired. * `3` - The auto-renewable subscription is in a billing retry period. * `4` - The auto-renewable subscription is in a Billing Grace Period. * `5` - The auto-renewable subscription is revoked. The App Store refunded the transaction or revoked it from Family Sharing. | The user's status. * `active` - An active user. * `inactive` - A deactivated user. * `pending` - A pending user."
"created","TIMESTAMP","True","bqetl","32","119","Timestamp indicating when an entity was created.","Time at which the coupon was created. | Time at which the customer was created. | Time at which the plan was created. | Time at which the product was created. | Time at which the subscription item was created. | Time at which the subscription was created. | Time at which the tax rate was created. | bq-datetime"
"app_id","STRING","True","bqetl","31","69","API identifier of the browser application or channel.","API ID of the app on which this event occurred | App ID | ID of the browser application."
"platform","STRING","False","bqetl","31","62","Operating system or platform on which the application is running.","Indicates if the data is from Firefox Desktop or Mobile (Fenix) | OS version on the device on which the event occurred | Platform | The platform on which the app was built (e.g., web, iOS, Android)"
"usage_profile_id","STRING","False","glean","30","100","UUID uniquely identifying the profile not shared with other telemetry data.","A UUID uniquely identifying the profile, not shared with other telemetry data."
"state","STRING","True","bqetl","29","52","Current state or status of a job, DAG run, device, or configuration.","Running state of the job | Running state of the job. Valid states include PENDING, RUNNING, and DONE. | State of the DAG run instance (e.g. success) | State, county, province, or region. | The US state | The US state. | The current state of the price change. Possible values are: * `0` - Outstanding: State for a pending price change waiting for the user to agree. In this state, you can optionally seek confirmation from the user using the In-App API. * `1` - Accepted: State for an accepted price change that the subscription will renew with unless it's canceled. The price change takes effect on a future date when the subscription renews. Note that the change might not occur when the subscription is renewed next. | The markov state, as determined by the state function | The markov state, as determined by the state function."
